Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
on_door_4da0a5af		Có vẻ như cửa đã bị khóa từ bên trong....	game/doctorrom.rpy	90	"[what]"
on_desktop_a20cefa7		...	game/doctorrom.rpy	117	"[what]"
on_desktop_f977c3b4		Thẻ không có ở đây ....	game/doctorrom.rpy	118	"[what]"
on_exit_doc_room_d1af84c9	mc	Không thấy rồi, có vẻ như anh ta không để nó trong phòng.	game/doctorrom.rpy	198	mc "[what]"
on_exit_doc_room_aa9c3dd0	num7	Vậy chúng ta đổi chỗ khác tìm thôi.	game/doctorrom.rpy	199	num7 "[what]"
encounter_doctor_48f6d530	doctor	Ồ, xem ta bắt được con chuột nhắt nào đó này.	game/doctorrom.rpy	234	doctor "[what]"
encounter_doctor_e5807881		Ngay khi bàn tay anh ta chuẩn bị nắm cổ bạn thì đột nhiên dừng lại.	game/doctorrom.rpy	237	"[what]"
encounter_doctor_89b746f8	doctor	Cậu... đã làm điều này? Hmm... Không ngờ cậu có mắt thẩm mỹ đấy.	game/doctorrom.rpy	242	doctor "[what]"
encounter_doctor_5d8eff56		Anh ta bước chậm quanh căn phòng, ánh mắt lướt qua từng chi tiết đã được sắp xếp lại. Cuối cùng, anh quay lại nhìn bạn, nụ cười không còn đáng sợ như trước.	game/doctorrom.rpy	243	"[what]"
encounter_doctor_c35ca175	doctor	Ta rất muốn xem bên trong cậu như thế nào... Nhưng có lẽ... hôm nay ta sẽ tha cho cậu. Coi như... cảm ơn vì sự giúp đỡ.	game/doctorrom.rpy	247	doctor "[what]"
encounter_doctor_81ba57dc	doctor	Ta là Winter, bác sĩ Giải phẫu học.	game/doctorrom.rpy	248	doctor "[what]"
encounter_doctor_d357ca29	num7	Hú hồn, lúc nãy anh ta định bóp cổ cậu đấy.	game/doctorrom.rpy	253	num7 "[what]"
encounter_doctor_3cc0d968	mc	Tôi cũng thấy rồi, cảm giác như vừa trở về từ cõi chết.	game/doctorrom.rpy	255	mc "[what]"
encounter_doctor_5649bb07		Chưa kịp để bạn phản ứng, bàn tay to lớn túm chặt lấy cổ bạn khiến bạn dần mất đi ý thức.	game/doctorrom.rpy	258	"[what]"
encounter_doctor_0d5f1923		Trong cơn mơ màng, bạn cảm thấy hắn muốn mang bạn đi đâu đó. Tiếng cười trầm thấp quỷ dị khiến bạn sởn gai ốc, nhưng không thể kháng cự.	game/doctorrom.rpy	260	"[what]"
encounter_doctor_f777e2eb		Không biết qua bao lâu, bạn dần dần tỉnh lại. Ánh đèn từ trần nhà rọi thẳng vào mặt khiến bạn khó chịu, cả chân tay cũng bị chói chặt không thể cử động	game/doctorrom.rpy	264	"[what]"
encounter_doctor_0b5ca2ba	"?"	Hm, ngươi tỉnh rồi?	game/doctorrom.rpy	271	"?" "[what]"
encounter_doctor_df9af024	"?"	Sẽ hơi khó khăn đây, nhưng không sao.	game/doctorrom.rpy	275	"?" "[what]"
encounter_doctor_42819ff3	"?"	Rất nhanh thôi ngươi sẽ trở thành một trong những kiệt tác xinh đẹp trong bộ sưu tập của ta~	game/doctorrom.rpy	277	"?" "[what]"
negotiation_with_winter_fe974a4a	mc	Tôi là [player_name]	game/doctorrom.rpy	289	mc "[what]"
negotiation_with_winter_c47bcdf3	mc	Xin lỗi vì tự ý vào phòng của anh, nhưng tôi thật sự cần thẻ nhân viên của anh để sử dụng thang máy. Anh có thể cho tôi mượn được không?	game/doctorrom.rpy	290	mc "[what]"
negotiation_with_winter_6d7e6ba2	doctor	Lúc nãy nể tình cậu giúp ta dọn dẹp phòng nên ta đã tha cho cậu một mạng rồi.	game/doctorrom.rpy	293	doctor "[what]"
negotiation_with_winter_b3c923e1	doctor	Giờ muốn nhờ vả ta, cậu có định sẽ trả một cái giá khác không?	game/doctorrom.rpy	294	doctor "[what]"
negotiation_with_winter_b1c66b6b	mc	...Tôi xin lỗi.	game/doctorrom.rpy	298	mc "[what]"
negotiation_with_winter_2daca2c1	mc	A-Anh muốn làm gì!!?	game/doctorrom.rpy	301	mc "[what]"
physical_test_ef99d2b4	doctor	Chỉ là nghiên cứu ngoài da thôi.	game/doctorrom.rpy	306	doctor "[what]"
physical_test_4522185c		Sau khi bị ép làm vài phương pháp vật lí và bị Winter sờ nắn các khớp xương, cuối cùng anh ta cũng chịu quẹt thẻ cho bạn dùng thang máy.	game/doctorrom.rpy	308	"[what]"
physical_test_b8c51761	doctor	Chào nhé, lần sau gặp lại hãy để ta được sử dụng dao trên cơ thể cậu.	game/doctorrom.rpy	310	doctor "[what]"
physical_test_0a777bbc	mc	...Tôi không thèm hi vọng gặp lại anh đâu!	game/doctorrom.rpy	311	mc "[what]"
unlock_door_b79fd491		Cần có chìa khóa để mở	game/doctorrom.rpy	347	"[what]"
entry_docroom_a20cefa7		...	game/doctorrom.rpy	378	"[what]"
on_enter_doctor_room_dd227277		Phòng làm việc của bác sĩ nằm ở một góc khuất trên tầng, không gian u tối và đầy rẫy dụng cụ y khoa. Cửa phòng mở ra, đập vào mặt bạn là một căn phòng bừa bộn với tài liệu và đồ đạc vương vãi.	game/doctorrom.rpy	412	"[what]"
on_enter_doctor_room_248060f1	num7	Bừa thật đấy, thế mà ban nãy gã kia nói anh ta bị OCD làm tôi cứ tưởng...	game/doctorrom.rpy	413	num7 "[what]"
on_enter_doctor_room_032870fa	mc	Tìm đồ đã rồi tính sau.	game/doctorrom.rpy	414	mc "[what]"
on_elevator_panel_a20cefa7		...	game/elevator.rpy	55	"[what]"
on_elevator_panel_ae9ec6b1	num7	Có vẻ thang máy cần thứ gì đó để hoạt động, như thẻ nhân viên chẳng hạn.	game/elevator.rpy	59	num7 "[what]"
on_elevator_panel_63b53d5a	num7	Chúng ta đi tìm thôi.	game/elevator.rpy	60	num7 "[what]"
big_mirror_8be9418e	mc	Gương ?	game/mirror_room.rpy	108	mc "[what]"
big_mirror_2bc59abc		!!!!!!!	game/mirror_room.rpy	112	"[what]"
big_mirror_10adc4c2	girl_in_mirror	Ngươi….đến….mắc kẹt…chết..mãi mãi………	game/mirror_room.rpy	113	girl_in_mirror "[what]"
big_mirror_6d66f082	mc	Hả !!!	game/mirror_room.rpy	114	mc "[what]"
big_mirror_5305b813	mc	Cái quái gì vậy ???	game/mirror_room.rpy	116	mc "[what]"
big_mirror_ddada131	num7	Có lẽ là một người lâu không được giao tiếp thôi…	game/mirror_room.rpy	120	num7 "[what]"
big_mirror_0e29edd2	num7	Cơ mà ở kia có một chiếc hộp kìa !!	game/mirror_room.rpy	122	num7 "[what]"
exit_start_room_2f75fc09	num7	Oaaa, có tận 2 đường luôn này!	game/scene2.rpy	36	num7 "[what]"
exit_start_room_4298d777	num7	Tầng này có vẻ khá đáng sợ đấy, nhỉ? Cơ mà dưới cầu thang cũng rất tối nha~!	game/scene2.rpy	37	num7 "[what]"
exit_start_room_2c508325	num7	Cậu muốn đi đâu? Khám phá tầng này hay đi xuống cầu thang?	game/scene2.rpy	38	num7 "[what]"
exit_start_room_80447f5f	num7	Vì tôi là một hệ thống đáng yêu và tận tâm nên tôi ủng hộ bất kỳ lựa chọn nào của cậu!	game/scene2.rpy	39	num7 "[what]"
get_to_work_1f6e844f	mc	{i}HAHA DẬY LÀM VIỆC NÀO!!!{/i}	game/scene2.rpy	52	mc "[what]"
get_to_work_bdf32baf	num7	Rất tốt, 07 vô cùng hân hạnh khi được phục vụ kí chủ~	game/scene2.rpy	54	num7 "[what]"
get_to_work_2607582b		Bạn đứng dậy rời khỏi giường, mang tâm trạng thấp thỏm đi theo chỉ dẫn của hệ thống.	game/scene2.rpy	55	"[what]"
go_to_stairway_f461f228		Coming soon...	game/scene2.rpy	76	"[what]"
give_up_fc698d73	num7	Tốt thôi, tôi sẽ không quan tâm bạn nữa.	game/scene2.rpy	106	num7 "[what]"
give_up_de95b0d2		Một lúc sau, xung quanh lại trở nên yên ắng, có lẽ 07 đã rời đi thật rồi.	game/scene2.rpy	108	"[what]"
give_up_cc8188dc		Bạn đã tự an ủi mình rằng đây chỉ là giấc mơ thôi và dần dần chìm vào giấc ngủ.	game/scene2.rpy	109	"[what]"
give_up_7670de3f		Chỉ cần ngủ một giấc, và khi thức dậy mọi thứ sẽ trở về lúc ban đầu.	game/scene2.rpy	111	"[what]"
give_up_e490a5c5		Nhưng dần dần bạn cảm thấy rất khó thở.	game/scene2.rpy	113	"[what]"
give_up_d6a034e2		Bạn muốn vùng vẫy để thoát ra nhưng không tài nào cử động được. Đến cả việc mở mắt cũng rất khó khăn, dường như có thứ gì đó đang đè nặng và bóp chặt cơ thể bạn. Từng giây trôi qua, bạn cảm giác được sự sống đang dần bị rút cạn.	game/scene2.rpy	115	"[what]"
give_up_4ce95f4d	mc	Đây... chắc chắn là nhân vật phụ sống không quá ba dòng trong tiểu thuyết...	game/scene2.rpy	137	mc "[what]"
give_up_877450e4	mc	Bố mẹ......Chị ơi...Con..xin lỗi....	game/scene2.rpy	140	mc "[what]"
give_up_2023fb52	mc	Bố mẹ......Em trai...Con..xin lỗi....	game/scene2.rpy	142	mc "[what]"
scene2_343ea275		Không biết bạn đã bất tỉnh bao lâu...	game/scene2.rpy	170	"[what]"
scene2_51e9871b		Khi tỉnh lại đập vào mắt bạn là một căn phòng xa lạ, dường như là một bệnh viện bỏ hoang từ rất lâu rồi...	game/scene2.rpy	173	"[what]"
scene2_fd4f54a1		Xung quanh tĩnh lặng đến quỷ dị, bạn dường như rùng mình bởi mùi ẩm mốc và thoang thoảng mùi hoại tử vấn vương trong không khí...	game/scene2.rpy	174	"[what]"
scene2_3fb3b9b4		Ánh đèn chập chờn và tiếng những con chuột cống kêu lên lúc xa lúc gần khiến bạn bất an vô cùng...	game/scene2.rpy	176	"[what]"
scene2_8f4680b9	mc	Chuyện quái gì vậy, đây là đâu?	game/scene2.rpy	178	mc "[what]"
scene2_a0e5e190	mc	Mình... Xuyên không rồi sao???	game/scene2.rpy	179	mc "[what]"
scene2_f693f6ca	mc	Không không không không không, thế thì ảo ma quá rồi!	game/scene2.rpy	180	mc "[what]"
scene2_6e4a2f0e	mc	Chắc ai đó đã đột nhập vào nhà và bắt cóc mình, rồi thực hiện chương trình thử thách lòng gan dạ!	game/scene2.rpy	181	mc "[what]"
scene2_57bcc2ce	mc	Đúng đúng! Chắc chắn là như vậy, haha...	game/scene2.rpy	183	mc "[what]"
scene2_2b35b6fe	mc	...	game/scene2.rpy	184	mc "[what]"
scene2_62cf11eb		Tit tit tit	game/scene2.rpy	187	"[what]"
scene2_386c5739	"?"	Đang tải dữ liệu...	game/scene2.rpy	189	"?" "[what]"
scene2_2713ca74	mc	!!!!!!!!!!AAAAAAAAAAAAA	game/scene2.rpy	192	mc "[what]"
scene2_c5d85673		Khi không gian đang tĩnh lặng đến mức có thể nghe thấy tiếng kim rơi, bỗng nhiên có một âm thanh điện tử máy móc vang lên khiến bạn sợ đến mức hét toáng lên.	game/scene2.rpy	194	"[what]"
scene2_99f43b91	"?"	Update phiên bản thành công.	game/scene2.rpy	196	"?" "[what]"
